CustomerID,Age,Gender,Tenure,Monthly Charges,Total Charges,Contract Type,Has Internet Service,Has Online Security Service,Has Device Protection Plan,Number of Complaints Last Year,Churn,Region
30,42,Male,62,78.64,586.51,One year,Fiber optic,Yes,No,9,0,North
31,66,Other,71,113.67,4640.6,Two year,No,Yes,Yes,2,1,North
32,44,Male,17,115.81,5323.25,Month-to-month,No,No,Yes,3,0,West
33,59,Other,5,115.77,2604.67,Two year,DSL,Yes,No,5,1,West
34,45,Other,1,72.5,4989.43,Two year,DSL,No,Yes,8,1,West
35,33,Male,31,109.87,1635.29,Month-to-month,DSL,Yes,Yes,7,1,East
36,32,Female,35,115.86,1533.49,One year,No,No,Yes,3,0,North
37,64,Female,30,76.4,4190.14,Two year,Fiber optic,No,Yes,1,0,North
38,68,Female,15,62.18,2598.12,One year,DSL,Yes,No,5,0,North
39,61,Female,56,100.89,447.57,One year,Fiber optic,No,Yes,4,0,North
40,69,Male,60,121.34,2248.67,One year,DSL,No,Yes,3,0,South
41,20,Other,27,128.18,834.05,One year,Fiber optic,No,Yes,4,0,North
42,54,Other,2,59.3,7712.71,One year,No,No,Yes,8,1,East
43,68,Male,64,126.56,1362.57,Month-to-month,DSL,No,No,8,1,East
44,24,Female,5,80.42,3959.28,One year,No,No,No,8,1,North
45,38,Other,68,60.9,2843.05,One year,No,Yes,Yes,8,0,North
46,26,Male,13,129.82,4296.72,Two year,Fiber optic,No,No,2,0,North
47,56,Male,23,118.65,3335.28,Month-to-month,Fiber optic,Yes,Yes,7,0,East
48,35,Female,50,99.92,807.9,One year,No,Yes,Yes,1,0,West
49,21,Male,37,120.38,5274.62,One year,DSL,No,Yes,0,1,South
50,42,Other,30,98.82,7689.21,Two year,Fiber optic,Yes,No,9,0,South
51,31,Other,23,74.47,1271.3,Month-to-month,No,Yes,No,5,0,East
52,67,Male,34,125.74,1028.62,Month-to-month,No,Yes,Yes,4,0,South
53,26,Other,64,127.28,3276.16,Two year,No,No,No,3,1,South
54,43,Male,55,61.72,2203,Month-to-month,DSL,No,Yes,4,0,East
55,19,Other,71,65.78,415.63,Month-to-month,Fiber optic,Yes,Yes,7,0,West
56,37,Female,9,68.64,1175.29,One year,Fiber optic,Yes,Yes,7,0,East
57,45,Other,4,113.03,3277.45,Two year,No,Yes,Yes,8,1,East
58,64,Female,66,109.9,1354.47,Two year,DSL,Yes,Yes,3,1,West
59,24,Female,33,129.28,2632.26,Month-to-month,No,No,No,7,1,South
60,61,Male,32,76.98,6045.54,One year,Fiber optic,Yes,Yes,5,0,South
61,25,Female,44,104.4,305.14,Month-to-month,DSL,No,No,3,1,East
62,64,Other,37,116.52,3958.83,One year,No,No,No,2,0,North
63,52,Other,67,52.33,5393.2,Month-to-month,Fiber optic,No,Yes,3,1,North
64,31,Female,60,92.67,275.02,Month-to-month,Fiber optic,Yes,No,7,0,South
65,34,Male,59,85.31,1001.82,Two year,Fiber optic,No,Yes,3,0,West
66,53,Female,36,105.02,1237.76,Month-to-month,DSL,No,No,4,1,East
67,67,Other,49,100.23,7060.38,Month-to-month,DSL,Yes,Yes,9,0,South
68,57,Other,51,112.08,1060.29,Two year,Fiber optic,No,Yes,5,0,North
69,21,Female,8,61.42,904.08,One year,Fiber optic,No,Yes,8,0,North
70,19,Female,50,51.84,7095.28,Month-to-month,DSL,Yes,Yes,3,0,North
71,23,Female,41,111.32,822.29,Month-to-month,No,Yes,Yes,9,1,East
72,59,Other,38,66.41,3557.13,Two year,No,Yes,Yes,3,0,West
73,21,Other,55,59.03,3408.58,One year,No,Yes,No,5,0,East
74,46,Other,68,64.01,6634.16,Month-to-month,Fiber optic,Yes,Yes,7,0,East
75,35,Male,18,36.69,7957.28,Month-to-month,Fiber optic,No,No,1,0,North
76,43,Other,65,108.08,840.81,Two year,DSL,Yes,Yes,2,0,South
77,61,Other,64,102.22,1021.06,One year,Fiber optic,Yes,No,6,1,East
78,51,Male,12,85.81,6015.43,Month-to-month,No,No,No,5,0,North
79,27,Male,41,102.31,5913.6,Two year,Fiber optic,Yes,No,8,0,West
80,53,Male,42,67.68,1655.33,Two year,No,No,Yes,1,0,South
81,31,Male,60,59.82,1465.95,Two year,DSL,No,No,9,0,West
82,48,Male,50,117.08,5313.18,One year,DSL,Yes,Yes,3,0,North
83,65,Male,36,72.66,1641.87,Two year,DSL,No,No,9,1,South
84,32,Female,48,49.78,5303.72,Month-to-month,DSL,Yes,No,8,0,West
85,25,Female,71,105.64,2844.97,Month-to-month,DSL,Yes,No,5,0,North
86,31,Female,8,63.91,2427.95,One year,Fiber optic,No,No,6,0,South
87,40,Female,25,51.39,965.69,Month-to-month,No,Yes,Yes,0,0,South
88,57,Other,7,32.74,6731.06,One year,No,No,Yes,6,1,South
89,38,Male,8,128.02,65.01,Month-to-month,No,No,Yes,0,0,South
90,33,Other,31,77.19,5222.74,Two year,Fiber optic,No,Yes,0,1,East
91,62,Male,12,46.33,255.6,Month-to-month,No,Yes,No,1,0,West
92,35,Male,57,106.53,5979.52,Two year,No,No,No,6,0,South
93,64,Other,66,119.64,547.76,One year,Fiber optic,No,Yes,5,1,North
94,41,Female,12,83.31,1709.76,Two year,No,No,Yes,6,1,West
95,43,Other,27,32.85,951.32,Two year,Fiber optic,No,No,9,0,North
96,42,Other,46,66.87,3331.52,Month-to-month,No,Yes,No,2,0,South
97,62,Male,7,54.54,5121.94,One year,DSL,No,Yes,3,0,North
98,58,Male,61,94.27,527.22,Month-to-month,DSL,No,No,9,1,North
99,46,Male,58,82.39,4437.21,One year,Fiber optic,Yes,Yes,4,0,South
100,32,Female,58,65.92,712.69,Two year,Fiber optic,No,Yes,3,0,East
101,62,Other,13,95.49,1578.86,One year,Fiber optic,No,No,0,0,West
102,18,Other,53,89.02,3323.11,One year,Fiber optic,Yes,Yes,1,0,South
103,42,Female,65,121.55,689.68,One year,DSL,Yes,Yes,6,1,West
104,24,Other,49,90.27,2333.49,Month-to-month,DSL,No,Yes,4,0,South
105,26,Other,35,81.27,158.66,Two year,DSL,Yes,No,2,0,East
106,41,Male,17,113.18,3826.02,Two year,Fiber optic,No,Yes,7,0,South
107,18,Female,67,50.43,1956.05,Month-to-month,DSL,No,No,9,0,South
108,61,Male,10,54.59,6153.36,One year,DSL,Yes,No,9,0,East
109,25,Female,34,109.13,1704.7,Two year,Fiber optic,Yes,Yes,5,0,West
110,41,Male,4,74.67,5516.18,Two year,Fiber optic,No,No,3,0,East
111,28,Other,29,71.32,4793.47,Two year,No,Yes,No,0,0,North
112,68,Female,46,119.58,973.03,One year,DSL,Yes,Yes,7,0,South
113,34,Female,46,91.61,2118.76,Month-to-month,Fiber optic,Yes,No,2,1,South
114,25,Male,59,111.08,5755.29,Month-to-month,DSL,No,Yes,1,0,South
115,52,Female,61,111.78,1115.8,Two year,DSL,Yes,Yes,8,1,North
116,52,Other,68,42.11,7061.53,One year,DSL,No,No,2,0,North
117,50,Other,66,96.01,5109.31,Two year,DSL,No,No,7,0,West
118,22,Other,34,126.19,872.77,Month-to-month,Fiber optic,No,Yes,3,0,East
119,59,Male,5,78.47,4153.02,One year,No,No,Yes,1,1,West
120,56,Female,9,103.94,1609.75,Month-to-month,DSL,Yes,Yes,3,0,North
121,58,Male,20,87.23,7869.87,Two year,No,Yes,Yes,3,0,East
122,45,Other,21,50.68,652.62,Month-to-month,DSL,Yes,No,4,1,West
123,24,Female,17,49.7,2943.34,One year,No,No,No,2,0,North
124,26,Other,12,73.81,1537.28,One year,Fiber optic,Yes,Yes,4,0,South
125,25,Female,67,78.77,7807.16,One year,DSL,No,Yes,5,0,South
126,29,Female,5,80.81,2735.21,Month-to-month,DSL,No,Yes,2,0,South
127,51,Male,60,126.45,2065.65,One year,No,No,Yes,1,1,North
128,50,Female,53,40.12,6254.26,Month-to-month,Fiber optic,Yes,No,8,0,West
129,65,Other,52,68.42,4201.5,One year,DSL,Yes,No,7,0,South
130,40,Female,48,81.96,3232.25,Month-to-month,No,Yes,Yes,5,0,West
131,41,Other,19,127.26,1429.12,Month-to-month,Fiber optic,No,Yes,4,0,North
132,54,Male,17,80.93,1385.46,Month-to-month,Fiber optic,Yes,No,3,0,South
133,52,Other,54,108.29,1465.91,One year,No,Yes,No,5,1,North
134,61,Female,68,105.67,5563.05,Month-to-month,Fiber optic,Yes,No,0,0,East
135,57,Other,35,87.2,4625.74,One year,DSL,Yes,Yes,6,0,South
136,39,Other,41,43.19,5146.25,Two year,Fiber optic,Yes,No,1,0,South
137,44,Female,13,52.08,4522.32,One year,Fiber optic,Yes,Yes,0,0,West
138,52,Other,33,54.24,6337.33,Two year,DSL,Yes,No,0,1,North
139,18,Female,15,33.89,5115.11,One year,DSL,Yes,No,1,0,East
140,52,Male,63,68.29,4231.38,Two year,Fiber optic,No,Yes,2,0,North
141,54,Other,15,91.65,2929.47,Month-to-month,No,Yes,No,2,1,East
142,64,Male,31,44.56,3816.73,Two year,DSL,No,Yes,9,0,South
143,31,Other,28,47.67,4040.68,Two year,DSL,No,Yes,8,1,West
144,20,Other,10,101.4,762.52,Month-to-month,No,No,Yes,7,0,North
145,18,Male,57,47.08,845.12,Two year,DSL,No,No,0,1,West
146,22,Other,71,43.66,1329.62,One year,No,No,No,9,1,North
147,43,Other,33,128.75,6567.44,One year,DSL,No,No,9,0,East
148,31,Male,7,31.48,3428.17,Two year,Fiber optic,Yes,No,4,1,West
149,56,Other,5,62.86,1709.42,Two year,Fiber optic,No,No,4,0,South
150,44,Female,57,33.52,1679.65,One year,No,No,No,6,0,North
151,26,Other,40,114.63,4203.98,One year,Fiber optic,Yes,No,6,0,West
152,32,Other,28,88.93,1465.32,Two year,No,Yes,Yes,7,0,South
153,32,Other,36,34.83,154.19,Month-to-month,Fiber optic,Yes,Yes,1,0,East
154,43,Male,56,92.14,1325.47,Month-to-month,No,Yes,Yes,1,0,East
155,59,Female,47,42.42,1826.2,One year,No,No,No,1,1,West
156,30,Female,71,80.06,2185.74,Month-to-month,Fiber optic,Yes,No,8,1,West
157,68,Other,40,97.6,7036.58,Two year,DSL,Yes,No,9,0,West
158,49,Male,59,44.99,3277.44,One year,DSL,No,No,8,1,South
159,56,Male,43,80.19,4904.75,Month-to-month,No,Yes,Yes,7,1,West
160,66,Female,66,76.19,1309.78,Month-to-month,No,Yes,No,0,0,North
161,69,Male,9,122.48,1897.85,Month-to-month,Fiber optic,Yes,No,0,0,East
162,49,Other,6,130.56,3706.99,One year,Fiber optic,Yes,No,7,0,East
163,21,Other,65,96.09,1543.87,Two year,Fiber optic,Yes,No,1,0,East
164,47,Male,3,116.33,3189.16,Two year,No,Yes,Yes,6,0,South
165,54,Other,37,95.33,1168.12,One year,Fiber optic,No,Yes,0,0,East
166,40,Female,33,118.49,109.76,Month-to-month,Fiber optic,No,No,5,0,East
167,56,Other,9,73.75,1076.31,Two year,Fiber optic,No,No,9,1,West
168,62,Male,53,91.4,856.46,Month-to-month,No,Yes,Yes,4,1,North
169,32,Female,51,115.35,3639.03,Two year,No,No,Yes,7,0,North
170,60,Other,71,122.72,870.85,Two year,Fiber optic,Yes,Yes,7,0,East
171,46,Female,26,32.48,3201.95,Two year,No,Yes,No,9,0,South
172,53,Male,16,40.49,3601.52,Month-to-month,DSL,Yes,No,2,0,East
173,30,Other,40,124.04,323.23,Month-to-month,No,No,No,2,1,South
174,49,Other,51,87.41,627.15,Month-to-month,Fiber optic,No,Yes,9,0,South
175,24,Female,39,130,1656.84,Month-to-month,Fiber optic,Yes,Yes,9,0,West
176,68,Other,55,110.05,2944.83,Month-to-month,No,No,Yes,7,0,East
177,39,Other,36,112.62,5322.94,One year,Fiber optic,Yes,Yes,7,0,South
178,45,Other,65,68.99,5864.1,Two year,DSL,Yes,No,5,0,West
179,19,Other,45,56,1161.96,Two year,Fiber optic,Yes,Yes,0,0,South
180,59,Male,9,90.41,5664.34,One year,No,No,No,8,0,North
181,62,Other,37,118.77,1340.42,Two year,No,No,No,7,0,South
182,23,Female,1,103.29,1847.08,One year,No,Yes,No,6,0,East
183,45,Male,66,77.68,5732.2,One year,No,Yes,No,0,1,West
184,45,Female,63,106.06,3546.84,One year,Fiber optic,No,Yes,0,0,South
185,61,Female,43,99.72,693.06,Two year,No,Yes,Yes,8,1,South
186,61,Female,28,122.21,523.37,One year,No,Yes,No,0,0,East
187,37,Male,31,56.61,1317.2,Two year,DSL,Yes,No,0,0,East
188,47,Male,69,42.04,5020.05,Month-to-month,Fiber optic,No,No,5,0,East
189,28,Male,8,77.47,1299.52,Month-to-month,DSL,Yes,Yes,0,0,East
190,45,Other,34,66.46,5051.91,One year,Fiber optic,Yes,Yes,2,0,North
191,42,Female,49,128.45,898.34,One year,No,Yes,Yes,1,0,North
192,56,Male,58,30.75,2739.92,Month-to-month,Fiber optic,No,No,6,1,South
193,50,Female,47,124.26,1658.48,Month-to-month,No,No,No,3,0,East
194,18,Male,25,126.45,3848.55,Month-to-month,No,No,Yes,4,0,South
195,44,Male,3,35.14,3031.52,One year,DSL,Yes,No,6,0,West
196,69,Male,45,119.84,3464.4,Month-to-month,Fiber optic,Yes,No,1,1,North
197,30,Female,52,77.54,5706.26,One year,Fiber optic,Yes,Yes,3,1,South
198,58,Other,34,107.37,3238.47,One year,No,Yes,Yes,8,1,East
199,20,Male,69,37.99,286.95,One year,DSL,No,Yes,2,0,South
200,56,Male,8,126.47,4938.22,Two year,DSL,No,No,5,0,East
201,23,Male,27,91.35,5236.72,One year,No,Yes,No,3,0,West
202,25,Other,63,120.76,636.98,Month-to-month,DSL,Yes,Yes,9,0,West
203,44,Female,25,97.96,2143.85,Month-to-month,DSL,No,No,7,0,East
204,26,Female,58,84.21,3544.58,One year,DSL,No,Yes,9,1,South
205,54,Female,48,47.41,1354.18,Two year,No,Yes,Yes,1,0,North
206,50,Female,1,47.96,3392.73,Two year,DSL,No,Yes,4,0,East
207,68,Male,8,77.72,460.45,One year,No,No,Yes,9,0,South
208,59,Other,21,117.9,6014.65,Two year,No,Yes,Yes,3,0,East
209,61,Male,29,41.63,1153.14,One year,No,Yes,No,8,1,East
210,41,Other,30,130.83,3537.71,Month-to-month,Fiber optic,No,No,6,0,East
211,32,Female,3,118.46,2619.41,Two year,No,Yes,Yes,5,0,North
212,49,Other,7,69.64,3014.81,One year,Fiber optic,Yes,No,7,0,West
213,49,Male,11,55.55,982.29,Two year,Fiber optic,No,Yes,2,0,South
214,41,Male,32,123.11,6605.11,Two year,Fiber optic,No,No,2,1,North
215,58,Female,59,42.43,3365.43,Two year,No,Yes,No,2,0,North
216,69,Male,12,65.07,671.31,Month-to-month,DSL,Yes,No,0,1,South
217,66,Male,38,38.47,6451.62,Month-to-month,Fiber optic,Yes,Yes,9,0,East
218,66,Other,24,126.29,5048.54,Two year,Fiber optic,No,No,7,0,West
219,69,Male,65,92.37,2273.31,Month-to-month,DSL,Yes,Yes,7,0,East
220,29,Female,18,63.94,1757.98,Month-to-month,Fiber optic,Yes,No,6,0,West
221,56,Female,46,57.81,2730.38,Two year,Fiber optic,Yes,Yes,2,1,East
222,19,Male,56,74.84,4072.71,Two year,Fiber optic,No,Yes,9,0,South
223,20,Female,63,39.22,1963.48,Two year,No,Yes,No,6,1,South
224,66,Other,7,119.81,5922.88,One year,Fiber optic,Yes,Yes,6,0,South
225,54,Other,66,81.59,2047.42,Month-to-month,DSL,Yes,No,9,0,South
226,66,Male,40,103.22,1555.47,One year,DSL,Yes,Yes,6,1,North
227,34,Male,54,53.6,5459.24,One year,Fiber optic,No,Yes,3,1,South
228,66,Other,31,80.87,7631.33,One year,No,No,No,4,0,North
229,19,Female,52,51.31,6753.36,Month-to-month,Fiber optic,No,Yes,4,0,South
230,19,Male,31,112.42,3164.45,Two year,DSL,Yes,Yes,3,0,South
231,45,Male,34,108.29,2164.24,Month-to-month,DSL,No,No,0,0,West
232,40,Female,7,44.96,2491.04,Two year,DSL,No,No,1,0,South
233,54,Male,16,37.52,1769.36,One year,No,Yes,Yes,9,0,South
234,49,Female,22,113.23,505.3,One year,Fiber optic,No,No,1,1,East
235,50,Female,53,41.06,1402.79,One year,Fiber optic,Yes,Yes,4,1,North
236,18,Female,17,85.39,5834.88,One year,No,Yes,No,2,0,North
237,36,Female,4,83.97,630.38,One year,Fiber optic,Yes,Yes,1,0,South
238,19,Female,61,50.49,4355.04,Two year,Fiber optic,No,No,4,1,East
239,61,Other,52,89.72,917.53,One year,DSL,No,Yes,1,0,North
240,43,Female,35,80.77,6495.54,One year,Fiber optic,No,No,9,0,South
241,49,Other,44,81.42,7383.18,Two year,Fiber optic,No,No,2,0,North
242,23,Female,15,66.32,3956.23,Month-to-month,DSL,Yes,No,8,0,West
243,49,Male,61,114.67,2363.28,One year,Fiber optic,No,No,6,0,East
244,21,Other,44,38.51,1541.33,Two year,Fiber optic,Yes,Yes,8,0,North
245,28,Male,21,74.29,2710.19,One year,Fiber optic,Yes,Yes,6,0,North
246,34,Female,47,56.23,281.92,Two year,No,Yes,Yes,3,0,South
247,55,Female,49,115.68,2742.6,Month-to-month,No,No,Yes,9,0,West
248,41,Male,53,52.72,1427.27,One year,No,Yes,Yes,9,0,North
249,22,Female,27,107.46,2191.16,One year,DSL,Yes,Yes,5,1,West
250,69,Male,31,91.75,5440.65,Month-to-month,DSL,Yes,No,0,0,South
251,51,Female,44,118.34,731.74,Month-to-month,Fiber optic,Yes,No,0,0,East
252,23,Female,32,89.96,6406.86,Month-to-month,No,Yes,Yes,2,0,West
253,39,Other,30,86.19,588.14,Two year,DSL,Yes,No,4,0,East
254,28,Male,18,110.9,1921.18,One year,Fiber optic,Yes,Yes,5,0,East
255,65,Female,63,86.8,5748.54,Two year,Fiber optic,Yes,No,9,0,North
256,33,Male,16,115.29,6161.46,Month-to-month,DSL,No,Yes,7,0,South
257,50,Other,35,34.97,4031.47,One year,Fiber optic,No,Yes,0,1,East
258,26,Male,62,80,1744.34,Month-to-month,No,No,Yes,0,0,South
259,23,Other,9,112.07,202.74,Month-to-month,Fiber optic,No,Yes,9,1,West
260,33,Male,62,115.67,6929.47,Two year,DSL,No,Yes,3,0,North
261,46,Male,39,114.23,1211.33,Two year,No,Yes,Yes,2,0,North
262,20,Other,51,91.03,803.94,One year,No,Yes,No,0,0,North
263,37,Female,10,130.38,1498.75,Two year,No,Yes,Yes,1,1,North
264,53,Female,52,48.31,159.76,One year,DSL,No,Yes,6,0,West
265,36,Female,12,47.61,6128.32,Month-to-month,DSL,Yes,No,0,1,East
266,43,Male,62,33.31,2003.31,One year,Fiber optic,No,Yes,3,0,East
267,20,Male,3,129.91,888.14,Month-to-month,Fiber optic,No,No,6,0,East
268,36,Female,11,65.14,6086.98,Two year,Fiber optic,No,Yes,7,1,South
269,37,Male,8,106.96,4597.83,Month-to-month,Fiber optic,Yes,No,2,0,South
270,49,Male,23,36.02,1980.81,Two year,DSL,Yes,Yes,2,0,East
271,24,Female,10,60.16,3708.02,One year,Fiber optic,Yes,No,5,0,West
272,69,Other,18,93,314.95,One year,DSL,No,Yes,7,1,South
273,58,Male,39,82.99,5474.89,One year,Fiber optic,Yes,Yes,0,1,West
274,50,Male,26,50.97,7035.49,Month-to-month,No,Yes,No,7,0,West
275,57,Male,11,76.61,278.68,Two year,Fiber optic,No,No,1,1,North
276,56,Male,10,40.98,451.82,One year,Fiber optic,No,No,9,0,West
277,35,Other,3,84.8,2267.71,Month-to-month,DSL,No,Yes,2,1,West
278,57,Female,62,39.78,7024.28,Month-to-month,Fiber optic,No,Yes,8,0,East
279,18,Male,71,94.22,1793.05,Month-to-month,DSL,No,No,7,0,East
280,28,Female,61,45.68,631.19,One year,DSL,Yes,No,1,0,East
281,45,Male,4,85.25,3776.54,Month-to-month,Fiber optic,Yes,Yes,1,0,North
282,42,Other,61,43.03,4630.75,Two year,DSL,No,No,0,1,South
283,67,Female,8,70.46,1309.47,Two year,Fiber optic,No,Yes,1,0,East
284,40,Other,13,65.52,6212.65,One year,DSL,No,Yes,5,1,West
285,48,Male,12,106.39,3025.85,Month-to-month,DSL,Yes,Yes,7,1,West
286,47,Other,35,94.75,969.09,One year,No,No,Yes,4,0,West
287,59,Other,54,124.64,898.75,Month-to-month,No,No,Yes,3,1,East
288,52,Male,51,123.1,4357.56,One year,DSL,No,No,3,0,South
289,24,Male,43,103.21,1974.81,One year,DSL,Yes,Yes,2,0,South
290,33,Female,66,107.82,4975.1,Two year,DSL,Yes,No,2,0,South
291,43,Male,15,93.11,82.87,Month-to-month,DSL,Yes,No,3,1,East
292,65,Female,49,99.85,1000.82,Two year,Fiber optic,Yes,Yes,4,0,West
293,69,Other,34,92.33,963.55,Two year,Fiber optic,Yes,Yes,9,0,South
294,66,Other,39,61.48,3669.42,Month-to-month,Fiber optic,No,No,7,0,North
295,19,Female,26,65.41,6036.82,One year,No,No,Yes,9,0,West
296,18,Male,69,88.04,5892.01,Month-to-month,Fiber optic,Yes,No,6,1,North
297,65,Male,48,102.73,1669.13,Month-to-month,DSL,No,No,4,0,East
298,29,Other,51,71.01,1448.07,Two year,No,No,No,9,0,West
299,22,Female,4,44.4,1192.65,Two year,DSL,Yes,No,3,0,West
300,54,Other,27,76.39,3216.85,Month-to-month,Fiber optic,No,No,6,0,East
301,49,Other,42,127.27,458.51,Month-to-month,No,No,Yes,1,0,South
302,26,Male,56,51.61,5393.57,One year,DSL,Yes,No,6,1,North
303,58,Female,69,95.55,2843.46,Two year,DSL,Yes,Yes,7,1,North
304,52,Other,18,129.23,2272.55,Two year,DSL,Yes,No,0,0,East
305,36,Male,61,67.99,3339.47,Two year,Fiber optic,Yes,No,3,1,South
306,65,Other,4,119.67,6266.25,Month-to-month,Fiber optic,No,No,7,0,West
307,33,Other,1,117.25,1775.21,Month-to-month,DSL,Yes,No,6,0,North
308,20,Male,50,64.23,2310.4,One year,Fiber optic,Yes,No,7,0,East
309,37,Male,70,39.94,3586.96,Two year,DSL,No,No,3,0,North
310,41,Female,20,48.02,1251.42,Two year,DSL,Yes,No,7,0,South
311,50,Other,20,66.93,957.5,One year,Fiber optic,No,No,2,0,East
312,41,Female,46,126.86,435.27,One year,DSL,No,No,2,0,North
313,69,Male,27,57.71,4597.35,One year,DSL,No,Yes,0,0,East
314,28,Male,26,123.6,2620.73,Two year,DSL,Yes,No,0,1,East
315,66,Other,32,48.31,2926.67,Two year,DSL,Yes,No,0,1,North
316,25,Female,10,127.94,4223.01,Two year,DSL,No,No,2,1,South
317,53,Female,12,59.64,8687.48,Two year,DSL,No,No,9,0,South
318,55,Other,24,93.93,1655.94,One year,No,Yes,No,4,0,East
319,57,Other,51,37.03,2230.18,One year,No,Yes,No,9,0,North
320,37,Female,38,60.26,3820.36,One year,DSL,Yes,No,3,1,North
321,52,Male,46,51.27,1612.6,Two year,DSL,Yes,No,2,1,North
322,65,Male,8,30.34,4862.91,One year,DSL,No,No,5,0,South
323,42,Other,55,45.82,1622.27,Two year,Fiber optic,No,No,2,0,West
324,52,Female,31,89.89,1609.32,One year,Fiber optic,No,No,3,1,West
325,42,Female,16,69.37,629.28,One year,No,No,No,5,0,North
326,46,Female,20,102.97,4800.06,Month-to-month,No,No,No,2,0,East
327,35,Male,38,97.77,61.78,Two year,No,Yes,Yes,9,1,East
328,63,Male,15,110.72,3824.76,Two year,Fiber optic,Yes,No,5,1,West
329,35,Female,34,117.56,3104.78,Month-to-month,No,Yes,No,1,0,West
330,19,Female,19,112.79,1418.49,Month-to-month,DSL,No,No,9,1,South
331,52,Other,69,75.24,3984.55,Two year,No,No,Yes,3,0,North
332,33,Other,63,61.17,3180.08,Month-to-month,No,No,Yes,5,1,North
333,58,Female,32,80.72,3288.01,Two year,DSL,No,No,3,0,South
334,53,Female,37,84.04,7447.62,Month-to-month,DSL,No,No,1,1,North
335,50,Male,66,61.62,362.23,Two year,No,Yes,No,4,0,West
336,21,Female,7,84.53,1166.69,Month-to-month,Fiber optic,Yes,Yes,0,0,East
337,50,Other,48,40.67,328.11,Two year,No,No,No,8,1,South
338,31,Male,11,53.33,2965.53,One year,Fiber optic,No,No,0,0,North
339,38,Other,31,105.34,192.14,Month-to-month,Fiber optic,Yes,Yes,6,0,South
340,65,Other,44,48.46,505.79,One year,DSL,No,Yes,9,0,North
341,37,Male,45,44.03,231.78,Month-to-month,Fiber optic,No,No,4,0,North
342,25,Other,56,59.01,5266.91,Month-to-month,No,No,Yes,2,0,North
343,24,Female,32,67.47,8156.26,Two year,Fiber optic,No,No,2,0,West
344,20,Other,21,63.17,2000.96,Two year,Fiber optic,Yes,Yes,0,1,South
345,34,Male,31,67.83,6361.53,Two year,No,Yes,Yes,5,1,North
346,50,Male,1,44.12,7347.32,Two year,DSL,Yes,No,4,0,West
347,65,Male,11,46.69,3849.32,Month-to-month,Fiber optic,Yes,Yes,9,0,West
348,29,Other,68,53.81,3094.93,Two year,No,Yes,No,0,0,North
349,68,Female,36,70.59,1272.37,Month-to-month,Fiber optic,No,No,7,1,West
350,39,Male,59,63.92,1847.77,Two year,Fiber optic,Yes,No,5,0,West
351,39,Female,67,109.91,542.24,Month-to-month,Fiber optic,No,Yes,7,0,East
352,63,Male,56,83.07,1345.1,One year,Fiber optic,No,No,0,1,West
353,47,Female,51,88.14,863.36,Two year,No,Yes,Yes,3,1,West
354,55,Female,29,86.61,1098.04,Two year,Fiber optic,No,No,8,1,South
355,55,Female,2,70.27,195.05,Two year,No,Yes,Yes,7,1,East
